doid	disease	symbol
DOID:0014667	disease_of_metabolism	AGL
DOID:0014667	disease_of_metabolism	AGK
DOID:0014667	disease_of_metabolism	PRKAG2
DOID:0014667	disease_of_metabolism	SUMO4
DOID:0014667	disease_of_metabolism	AGA
DOID:0014667	disease_of_metabolism	MOCS2
DOID:0014667	disease_of_metabolism	MOCS1
DOID:0014667	disease_of_metabolism	PMM2
DOID:0014667	disease_of_metabolism	ASS1
DOID:0014667	disease_of_metabolism	SAR1B
DOID:0014667	disease_of_metabolism	TAT
DOID:0014667	disease_of_metabolism	TWNK
DOID:0014667	disease_of_metabolism	CBLIF
DOID:0014667	disease_of_metabolism	RETN
DOID:0014667	disease_of_metabolism	TAZ
DOID:0014667	disease_of_metabolism	PCCB
DOID:0014667	disease_of_metabolism	SCN4A
DOID:0014667	disease_of_metabolism	LMBRD1
DOID:0014667	disease_of_metabolism	PCCA
DOID:0014667	disease_of_metabolism	IL2RA
DOID:0014667	disease_of_metabolism	APRT
DOID:0014667	disease_of_metabolism	OPA3
DOID:0014667	disease_of_metabolism	OPA1
DOID:0014667	disease_of_metabolism	GK
DOID:0014667	disease_of_metabolism	COX6A2
DOID:0014667	disease_of_metabolism	L2HGDH
DOID:0014667	disease_of_metabolism	GM2A
DOID:0014667	disease_of_metabolism	B2M
DOID:0014667	disease_of_metabolism	AMT
DOID:0014667	disease_of_metabolism	ANGPTL3
DOID:0014667	disease_of_metabolism	SLC30A8
DOID:0014667	disease_of_metabolism	NFU1
DOID:0014667	disease_of_metabolism	UROS
DOID:0014667	disease_of_metabolism	SFXN4
DOID:0014667	disease_of_metabolism	UROD
DOID:0014667	disease_of_metabolism	APOA5
DOID:0014667	disease_of_metabolism	APOA1
DOID:0014667	disease_of_metabolism	APOA2
DOID:0014667	disease_of_metabolism	APOE
DOID:0014667	disease_of_metabolism	APOB
DOID:0014667	disease_of_metabolism	TTR
DOID:0014667	disease_of_metabolism	PEPD
DOID:0014667	disease_of_metabolism	MPV17
DOID:0014667	disease_of_metabolism	STX16
DOID:0014667	disease_of_metabolism	SLC39A8
DOID:0014667	disease_of_metabolism	PPARG
DOID:0014667	disease_of_metabolism	MMACHC
DOID:0014667	disease_of_metabolism	BLK
DOID:0014667	disease_of_metabolism	GRN
DOID:0014667	disease_of_metabolism	SLC39A4
DOID:0014667	disease_of_metabolism	MCCC2
DOID:0014667	disease_of_metabolism	MCCC1
DOID:0014667	disease_of_metabolism	DNAJC5
DOID:0014667	disease_of_metabolism	GFM2
DOID:0014667	disease_of_metabolism	PSAP
DOID:0014667	disease_of_metabolism	INS
DOID:0014667	disease_of_metabolism	SLC22A5
DOID:0014667	disease_of_metabolism	NR0B2
DOID:0014667	disease_of_metabolism	TMEM199
DOID:0014667	disease_of_metabolism	GHRL
DOID:0014667	disease_of_metabolism	GLA
DOID:0014667	disease_of_metabolism	POLG
DOID:0014667	disease_of_metabolism	HGSNAT
DOID:0014667	disease_of_metabolism	STT3B
DOID:0014667	disease_of_metabolism	FH
DOID:0014667	disease_of_metabolism	CTH
DOID:0014667	disease_of_metabolism	HTRA2
DOID:0014667	disease_of_metabolism	HMBS
DOID:0014667	disease_of_metabolism	GNAS-AS1
DOID:0014667	disease_of_metabolism	COX20
DOID:0014667	disease_of_metabolism	SLC30A10
DOID:0014667	disease_of_metabolism	ALAS2
DOID:0014667	disease_of_metabolism	NUS1
DOID:0014667	disease_of_metabolism	PEX1
DOID:0014667	disease_of_metabolism	AUH
DOID:0014667	disease_of_metabolism	CPOX
DOID:0014667	disease_of_metabolism	LDLR
DOID:0014667	disease_of_metabolism	PEX2
DOID:0014667	disease_of_metabolism	ALG11
DOID:0014667	disease_of_metabolism	ALG12
DOID:0014667	disease_of_metabolism	MVK
DOID:0014667	disease_of_metabolism	ABCD3
DOID:0014667	disease_of_metabolism	MTFMT
DOID:0014667	disease_of_metabolism	SLC17A5
DOID:0014667	disease_of_metabolism	SUCLA2
DOID:0014667	disease_of_metabolism	CCDC115
DOID:0014667	disease_of_metabolism	ABCA1
DOID:0014667	disease_of_metabolism	RFT1
DOID:0014667	disease_of_metabolism	GUSB
DOID:0014667	disease_of_metabolism	LDLRAP1
DOID:0014667	disease_of_metabolism	G6PC
DOID:0014667	disease_of_metabolism	GNE
DOID:0014667	disease_of_metabolism	CAT
DOID:0014667	disease_of_metabolism	ABAT
DOID:0014667	disease_of_metabolism	HAL
DOID:0014667	disease_of_metabolism	GYG1
DOID:0014667	disease_of_metabolism	PMPCB
DOID:0014667	disease_of_metabolism	SLC37A4
DOID:0014667	disease_of_metabolism	DPYD
DOID:0014667	disease_of_metabolism	AASS
DOID:0014667	disease_of_metabolism	HNF1B
DOID:0014667	disease_of_metabolism	HNF1A
DOID:0014667	disease_of_metabolism	CTSA
DOID:0014667	disease_of_metabolism	TIMM50
DOID:0014667	disease_of_metabolism	HSD17B4
DOID:0014667	disease_of_metabolism	COA8
DOID:0014667	disease_of_metabolism	COA5
DOID:0014667	disease_of_metabolism	COA6
DOID:0014667	disease_of_metabolism	ETFDH
DOID:0014667	disease_of_metabolism	HGD
DOID:0014667	disease_of_metabolism	ARSA
DOID:0014667	disease_of_metabolism	C12orf65
DOID:0014667	disease_of_metabolism	HEXA
DOID:0014667	disease_of_metabolism	PDP1
DOID:0014667	disease_of_metabolism	HEXB
DOID:0014667	disease_of_metabolism	PET100
DOID:0014667	disease_of_metabolism	CYP11B1
DOID:0014667	disease_of_metabolism	SLC1A1
DOID:0014667	disease_of_metabolism	GRHPR
DOID:0014667	disease_of_metabolism	GHR
DOID:0014667	disease_of_metabolism	MPC1
DOID:0014667	disease_of_metabolism	COQ8A
DOID:0014667	disease_of_metabolism	DHTKD1
DOID:0014667	disease_of_metabolism	ALAD
DOID:0014667	disease_of_metabolism	SLC25A15
DOID:0014667	disease_of_metabolism	SLC25A13
DOID:0014667	disease_of_metabolism	EGF
DOID:0014667	disease_of_metabolism	TSFM
DOID:0014667	disease_of_metabolism	MIPEP
DOID:0014667	disease_of_metabolism	FGA
DOID:0014667	disease_of_metabolism	LIPA
DOID:0014667	disease_of_metabolism	LIPC
DOID:0014667	disease_of_metabolism	IL31RA
DOID:0014667	disease_of_metabolism	IDS
DOID:0014667	disease_of_metabolism	AMACR
DOID:0014667	disease_of_metabolism	LPL
DOID:0014667	disease_of_metabolism	PHGDH
DOID:0014667	disease_of_metabolism	AARS2
DOID:0014667	disease_of_metabolism	DBH
DOID:0014667	disease_of_metabolism	MANBA
DOID:0014667	disease_of_metabolism	APP
DOID:0014667	disease_of_metabolism	SLC2A2
DOID:0014667	disease_of_metabolism	IBA57
DOID:0014667	disease_of_metabolism	HSD3B2
DOID:0014667	disease_of_metabolism	MRPL44
DOID:0014667	disease_of_metabolism	MMAA
DOID:0014667	disease_of_metabolism	ALDH5A1
DOID:0014667	disease_of_metabolism	WFS1
DOID:0014667	disease_of_metabolism	UQCRC2
DOID:0014667	disease_of_metabolism	DBT
DOID:0014667	disease_of_metabolism	ALG8
DOID:0014667	disease_of_metabolism	ALG9
DOID:0014667	disease_of_metabolism	STAR
DOID:0014667	disease_of_metabolism	ALG2
DOID:0014667	disease_of_metabolism	ALG3
DOID:0014667	disease_of_metabolism	ALG1
DOID:0014667	disease_of_metabolism	ALG6
DOID:0014667	disease_of_metabolism	TCN2
DOID:0014667	disease_of_metabolism	PPOX
DOID:0014667	disease_of_metabolism	COX6B1
DOID:0014667	disease_of_metabolism	ATP7A
DOID:0014667	disease_of_metabolism	ATP7B
DOID:0014667	disease_of_metabolism	CEL
DOID:0014667	disease_of_metabolism	GATM
DOID:0014667	disease_of_metabolism	PHKG2
DOID:0014667	disease_of_metabolism	TARS2
DOID:0014667	disease_of_metabolism	DLD
DOID:0014667	disease_of_metabolism	GCK
DOID:0014667	disease_of_metabolism	DLAT
DOID:0014667	disease_of_metabolism	TK2
DOID:0014667	disease_of_metabolism	GALNT3
DOID:0014667	disease_of_metabolism	MAPK8IP1
DOID:0014667	disease_of_metabolism	ATP5F1E
DOID:0014667	disease_of_metabolism	ATP5F1A
DOID:0014667	disease_of_metabolism	CYP27A1
DOID:0014667	disease_of_metabolism	BTD
DOID:0014667	disease_of_metabolism	MAOA
DOID:0014667	disease_of_metabolism	COX10
DOID:0014667	disease_of_metabolism	PDX1
DOID:0014667	disease_of_metabolism	COX14
DOID:0014667	disease_of_metabolism	COX15
DOID:0014667	disease_of_metabolism	EPHX2
DOID:0014667	disease_of_metabolism	SMPD1
DOID:0014667	disease_of_metabolism	ADSL
DOID:0014667	disease_of_metabolism	FECH
DOID:0014667	disease_of_metabolism	ALDOB
DOID:0014667	disease_of_metabolism	FASTKD2
DOID:0014667	disease_of_metabolism	C1QBP
DOID:0014667	disease_of_metabolism	MTO1
DOID:0014667	disease_of_metabolism	CST3
DOID:0014667	disease_of_metabolism	RMND1
DOID:0014667	disease_of_metabolism	ASL
DOID:0014667	disease_of_metabolism	ETFA
DOID:0014667	disease_of_metabolism	DPAGT1
DOID:0014667	disease_of_metabolism	NAGLU
DOID:0014667	disease_of_metabolism	TPMT
DOID:0014667	disease_of_metabolism	TXN2
DOID:0014667	disease_of_metabolism	LAMP2
DOID:0014667	disease_of_metabolism	IGF2BP2
DOID:0014667	disease_of_metabolism	TRIT1
DOID:0014667	disease_of_metabolism	ARSB
DOID:0014667	disease_of_metabolism	ACOX2
DOID:0014667	disease_of_metabolism	ACOX1
DOID:0014667	disease_of_metabolism	IRS1
DOID:0014667	disease_of_metabolism	IRS2
DOID:0014667	disease_of_metabolism	SGSH
DOID:0014667	disease_of_metabolism	CPN1
DOID:0014667	disease_of_metabolism	SLC35C1
DOID:0014667	disease_of_metabolism	NEU1
DOID:0014667	disease_of_metabolism	MICOS13
DOID:0014667	disease_of_metabolism	DCXR
DOID:0014667	disease_of_metabolism	PNPT1
DOID:0014667	disease_of_metabolism	LCAT
DOID:0014667	disease_of_metabolism	AGRP
DOID:0014667	disease_of_metabolism	CYP17A1
DOID:0014667	disease_of_metabolism	ETFB
DOID:0014667	disease_of_metabolism	CD320
DOID:0014667	disease_of_metabolism	ASAH1
DOID:0014667	disease_of_metabolism	ELAC2
DOID:0014667	disease_of_metabolism	PHKB
DOID:0014667	disease_of_metabolism	PFKM
DOID:0014667	disease_of_metabolism	COQ9
DOID:0014667	disease_of_metabolism	TTPA
DOID:0014667	disease_of_metabolism	DNAJC19
DOID:0014667	disease_of_metabolism	MFSD8
DOID:0014667	disease_of_metabolism	GNPTG
DOID:0014667	disease_of_metabolism	CYP21A2
DOID:0014667	disease_of_metabolism	GALNS
DOID:0014667	disease_of_metabolism	MGAT2
DOID:0014667	disease_of_metabolism	GCGR
DOID:0014667	disease_of_metabolism	UCP3
DOID:0014667	disease_of_metabolism	CTNS
DOID:0014667	disease_of_metabolism	PHYH
DOID:0014667	disease_of_metabolism	CYP7B1
DOID:0014667	disease_of_metabolism	AHCY
DOID:0014667	disease_of_metabolism	SLC16A1
DOID:0014667	disease_of_metabolism	GPIHBP1
DOID:0014667	disease_of_metabolism	OTC
DOID:0014667	disease_of_metabolism	FUCA1
DOID:0014667	disease_of_metabolism	TYMP
DOID:0014667	disease_of_metabolism	SSR4
DOID:0014667	disease_of_metabolism	BCKDHA
DOID:0014667	disease_of_metabolism	BOLA3
DOID:0014667	disease_of_metabolism	TUFM
DOID:0014667	disease_of_metabolism	ACADVL
DOID:0014667	disease_of_metabolism	GNPTAB
DOID:0014667	disease_of_metabolism	SLC6A8
DOID:0014667	disease_of_metabolism	TACO1
DOID:0014667	disease_of_metabolism	UQCRQ
DOID:0014667	disease_of_metabolism	TPI1
DOID:0014667	disease_of_metabolism	APOC2
DOID:0014667	disease_of_metabolism	APOC3
DOID:0014667	disease_of_metabolism	PAH
DOID:0014667	disease_of_metabolism	UQCRB
DOID:0014667	disease_of_metabolism	CAV3
DOID:0014667	disease_of_metabolism	HAMP
DOID:0014667	disease_of_metabolism	PPP1R3A
DOID:0014667	disease_of_metabolism	APPL1
DOID:0014667	disease_of_metabolism	ADK
DOID:0014667	disease_of_metabolism	CLN6
DOID:0014667	disease_of_metabolism	CLN5
DOID:0014667	disease_of_metabolism	CLN3
DOID:0014667	disease_of_metabolism	CACNA1S
DOID:0014667	disease_of_metabolism	CLN8
DOID:0014667	disease_of_metabolism	ATPAF2
DOID:0014667	disease_of_metabolism	FMO3
DOID:0014667	disease_of_metabolism	CETP
DOID:0014667	disease_of_metabolism	PEX26
DOID:0014667	disease_of_metabolism	IDH2
DOID:0014667	disease_of_metabolism	CTSD
DOID:0014667	disease_of_metabolism	CTSF
DOID:0014667	disease_of_metabolism	SLC25A4
DOID:0014667	disease_of_metabolism	SURF1
DOID:0014667	disease_of_metabolism	SLC25A20
DOID:0014667	disease_of_metabolism	CNNM2
DOID:0014667	disease_of_metabolism	SLC25A26
DOID:0014667	disease_of_metabolism	HJV
DOID:0014667	disease_of_metabolism	TCF7L2
DOID:0014667	disease_of_metabolism	PNPO
DOID:0014667	disease_of_metabolism	RNF216
DOID:0014667	disease_of_metabolism	TTC19
DOID:0014667	disease_of_metabolism	FBP1
DOID:0014667	disease_of_metabolism	ACADS
DOID:0014667	disease_of_metabolism	GBA
DOID:0014667	disease_of_metabolism	GLUD1
DOID:0014667	disease_of_metabolism	TIMM8A
DOID:0014667	disease_of_metabolism	ACADM
DOID:0014667	disease_of_metabolism	SDHAF1
DOID:0014667	disease_of_metabolism	AP2S1
DOID:0014667	disease_of_metabolism	SUMF1
DOID:0014667	disease_of_metabolism	GLDC
DOID:0014667	disease_of_metabolism	PPM1K
DOID:0014667	disease_of_metabolism	XDH
DOID:0014667	disease_of_metabolism	PC
DOID:0014667	disease_of_metabolism	RRM2B
DOID:0014667	disease_of_metabolism	B4GALT1
DOID:0014667	disease_of_metabolism	TRPM6
DOID:0014667	disease_of_metabolism	CTLA4
DOID:0014667	disease_of_metabolism	TFR2
DOID:0014667	disease_of_metabolism	UMPS
DOID:0014667	disease_of_metabolism	ACSF3
DOID:0014667	disease_of_metabolism	PHKA1
DOID:0014667	disease_of_metabolism	PHKA2
DOID:0014667	disease_of_metabolism	PAX4
DOID:0014667	disease_of_metabolism	MRPL3
DOID:0014667	disease_of_metabolism	DDC
DOID:0014667	disease_of_metabolism	PTPN1
DOID:0014667	disease_of_metabolism	GPHN
DOID:0014667	disease_of_metabolism	ALDH4A1
DOID:0014667	disease_of_metabolism	BCS1L
DOID:0014667	disease_of_metabolism	GNAS
DOID:0014667	disease_of_metabolism	MOGS
DOID:0014667	disease_of_metabolism	SLC3A1
DOID:0014667	disease_of_metabolism	MRPS22
DOID:0014667	disease_of_metabolism	FARS2
DOID:0014667	disease_of_metabolism	PPP1R17
DOID:0014667	disease_of_metabolism	EARS2
DOID:0014667	disease_of_metabolism	CCR5
DOID:0014667	disease_of_metabolism	HPRT1
DOID:0014667	disease_of_metabolism	VARS2
DOID:0014667	disease_of_metabolism	SLC6A19
DOID:0014667	disease_of_metabolism	CASR
DOID:0014667	disease_of_metabolism	FTH1
DOID:0014667	disease_of_metabolism	DPM2
DOID:0014667	disease_of_metabolism	DPM1
DOID:0014667	disease_of_metabolism	GALT
DOID:0014667	disease_of_metabolism	PDHA1
DOID:0014667	disease_of_metabolism	MMUT
DOID:0014667	disease_of_metabolism	PRDX1
DOID:0014667	disease_of_metabolism	GALC
DOID:0014667	disease_of_metabolism	CP
DOID:0014667	disease_of_metabolism	GALK1
DOID:0014667	disease_of_metabolism	NEUROD1
DOID:0014667	disease_of_metabolism	MRPS16
DOID:0014667	disease_of_metabolism	CAPN10
DOID:0014667	disease_of_metabolism	IL6
DOID:0014667	disease_of_metabolism	ADRB2
DOID:0014667	disease_of_metabolism	ADRB3
DOID:0014667	disease_of_metabolism	GFM1
DOID:0014667	disease_of_metabolism	HLCS
DOID:0014667	disease_of_metabolism	GNS
DOID:0014667	disease_of_metabolism	LMF1
DOID:0014667	disease_of_metabolism	ECM1
DOID:0014667	disease_of_metabolism	PEX19
DOID:0014667	disease_of_metabolism	INSR
DOID:0014667	disease_of_metabolism	MPDU1
DOID:0014667	disease_of_metabolism	GPD2
DOID:0014667	disease_of_metabolism	PEX10
DOID:0014667	disease_of_metabolism	PEX13
DOID:0014667	disease_of_metabolism	PEX12
DOID:0014667	disease_of_metabolism	PEX14
DOID:0014667	disease_of_metabolism	GCDH
DOID:0014667	disease_of_metabolism	PEX16
DOID:0014667	disease_of_metabolism	PTPN22
DOID:0014667	disease_of_metabolism	KLF11
DOID:0014667	disease_of_metabolism	CBS
DOID:0014667	disease_of_metabolism	FAH
DOID:0014667	disease_of_metabolism	GBE1
DOID:0014667	disease_of_metabolism	SUOX
DOID:0014667	disease_of_metabolism	GAA
DOID:0014667	disease_of_metabolism	CPT1A
DOID:0014667	disease_of_metabolism	PIGA
DOID:0014667	disease_of_metabolism	PIGN
DOID:0014667	disease_of_metabolism	MRPS2
DOID:0014667	disease_of_metabolism	MCM6
DOID:0014667	disease_of_metabolism	SUCLG1
